compound,concentration (subplot 1)/ M,concentration (subplot 2)/ M,concentration (subplot 3)/ M,concentration (subplot 4)/ M,
C=O,0.0,0.2214815043499999,0.0,0.1644714174355055,
O=CCO,0.0116888781291055,0.0,0.0,0.0,
O=C(CO)CO,0.0333295505970441,0.0166442941,0.0141951053247642,0.0031553247470275,
O=C[C@H](O)CO,0.0054690843913387,0.0,0.0,0.0,
OC[C@H](O)[C@H](O)CO,0.0,0.0007072008333333,0.0,0.0012441394210526,
OC[C@@H](O)[C@H](O)CO,0.0,0.0007734241111111,0.0,0.0,
O=CC(O)(CO)CO,0.0,0.0169659878888888,0.0,0.0051331208947368,
O=C[C@H](O)[C@H](O)CO,0.0,1.7160000000000002e-05,0.0,0.0021521617368421,
O=C(CO)[C@H](O)CO,0.0,0.0002642131111111,0.0,0.0007577004736842,
O=C[C@@H](O)[C@H](O)CO,0.0,0.004514717,0.0,0.0018641621052631,
O=C(CO)C(O)(CO)CO,0.0,1.461111111111111e-07,0.0,0.0,
O=C([C@H](O)CO)[C@H](O)CO,0.00014412695,0.0005702921111111,0.0,0.0015092608421052,
O=C([C@@H](O)CO)[C@H](O)CO,1.9935e-06,0.0007878503333333,0.0,0.0,
O=C[C@@](O)(CO)[C@H](O)CO,0.0075513699999999,0.0028024362777777,0.0,0.0,
O=C[C@](O)(CO)[C@H](O)CO,0.0,0.0,0.0,0.001781201368421,
O=C[C@@H](O)[C@@H](O)[C@H](O)CO,1.045e-06,0.0058571063888888,0.0,0.0,
O=C[C@H](O)[C@H](O)[C@H](O)CO,0.0,0.0,0.0,0.000436117368421,
O=C(CO)[C@H](O)[C@H](O)CO,0.0,0.0047912653888888,0.0,0.0,
O=C[C@H](O)[C@@H](O)[C@H](O)CO,0.0049240928,0.0,0.0,0.0,
O=C(CO)[C@@H](O)[C@H](O)CO,0.00786302565,0.0,0.0,0.0024978638947368,
OC[C@H](O)[C@H](O)[C@H](O)CO,0.0004963031999999,0.0,0.0,0.0,
OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,2.801666666666667e-06,0.0,0.0,
O=C(CO)[C@](O)(CO)[C@H](O)CO,3.7950000000000003e-07,5.685172222222222e-05,0.0,0.0,
O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO,6.015e-07,0.0024970354999999,0.0,0.0,
O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO,6.865e-07,0.0037444672777777,3.24578947368421e-05,0.0,
O=C([C@H](O)CO)C(O)(CO)CO,0.0,0.0,0.0,0.0025010538947368,
O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO,0.0014090747,0.0002895133888888,0.0042440836315789,0.0007421150526315,
O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO,0.0,0.0044153317777777,0.0,0.0007449657368421,
O=C[C@](O)(CO)[C@H](O)[C@H](O)CO,9.54e-07,0.0,0.0,0.0,
O=C[C@@](O)(CO)C(O)(CO)CO,0.00257730625,0.0008052725,0.0056626666842105,0.0,
O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,6.122e-07,3.517572222222223e-05,0.0,0.0,
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0020672074736842,
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0001698012631578,
O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO,9.496e-06,0.0002896482777777,1.438631578947368e-05,0.0008543163157894,
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,4.325e-07,0.0,0.0,0.0,
O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO,0.0,0.0,0.0,0.000733748368421,
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.5135000000000003e-06,0.0,0.0,0.0,
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.075e-07,0.0,0.0,0.0,
